ingredient,cluster,related_ingredient_1,related_ingredient_2,related_ingredient_3,related_ingredient_4,related_article_1,related_article_2
calcium-carbonate,minerals,calcium-iodide,calcium-iodate,calcium-citrate,calcium-pantothenate,zinc-for-dogs,dog-vitamins-deficiency
calcium-citrate,minerals,calcium-iodide,calcium-iodate,calcium-carbonate,calcium-pantothenate,zinc-for-dogs,dog-vitamins-deficiency
calcium-d-pantothenate,vitamins,calcium-pantothenate,calcium-ascorbate,vitamin-k1-supplement,calcium-iodide,dog-vitamins-deficiency,puppy-vitamins
calcium-iodate,minerals,calcium-iodide,calcium-citrate,calcium-carbonate,calcium-pantothenate,zinc-for-dogs,dog-vitamins-deficiency
calcium-iodide,minerals,calcium-iodate,calcium-citrate,calcium-carbonate,calcium-pantothenate,zinc-for-dogs,dog-vitamins-deficiency
calcium-pantothenate,vitamins,calcium-d-pantothenate,calcium-ascorbate,vitamin-k1-supplement,calcium-iodide,dog-vitamins-deficiency,puppy-vitamins
calcium-propionate,preservatives,sodium-propionate,sorbic-acid,sodium-benzoate,yellow-6,how-to-read-dog-supplement-labels,fillers-in-dog-supplements
camellia-sinensis,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
canola-meal,legumes,yellow-peas,split-peas,pinto-beans,wheat-germ-meal,fillers-in-dog-supplements,protein-for-dogs
canola-oil,seeds_plant_oils,vegetable-oil,sunflower-oil,soybean-oil,sardine-oil,dog-skin-coat-supplements,all-natural-dog-supplements
carrageenan,gums_thickeners,agar-agar,xanthan-gum,guar-gum,alginic-acid,food-thickeners-gums-in-dog-food,how-to-read-dog-supplement-labels
carrots,vegetables,zucchini,tomatoes,sweet-potatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
cassava,starches,cassava-flour,tapioca-starch,tapioca,wheat-gluten,fillers-in-dog-supplements,dog-vs-human-nutrition
cassava-flour,starches,cassava,tapioca-starch,tapioca,wheat-flour,fillers-in-dog-supplements,dog-vs-human-nutrition
celery,vegetables,zucchini,tomatoes,sweet-potatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
cellulase,digestive_enzymes,protease,papain,lipase,yogurt,digestive-enzymes-for-dogs,gut-health-for-dogs
cellulose,fibers_stool_support,microcrystalline-cellulose,wheat-bran,sweet-potato-fiber,resistant-starch,dog-anal-gland-diet,fillers-in-dog-supplements
chaga,mushrooms_adaptogens,withania-somnifera,shiitake,reishi,zeaxanthin,immune-support-for-dogs,immune-support-for-cats
chamomile,other_functional_binders,yucca-schidigera-extract,whey-powder,valerian-root,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
champignon-mushroom-extract,mushrooms_adaptogens,withania-somnifera,shiitake,reishi,green-tea-extract,immune-support-for-dogs,immune-support-for-cats
chia-seed,seeds_plant_oils,pumpkin-seed,vegetable-oil,sunflower-oil,sardine-oil,dog-skin-coat-supplements,all-natural-dog-supplements
chicken,animal_muscle_meats,chicken-breast,turkey,pork,chicken-liver,protein-for-dogs,human-grade-dog-treats
chicken-breast,animal_muscle_meats,chicken,turkey,pork,chicken-liver,protein-for-dogs,human-grade-dog-treats
chicken-by-products,meat_meals_byproducts,meat-by-products,chicken-meal,poultry-by-product-meal,chicken-breast,what-is-meat-meal-dog-food,chicken-by-products-dog-food
chicken-fat,animal_fats,poultry-fat,pork-fat,lamb-fat,vegetable-oil,dog-skin-coat-supplements,all-natural-dog-supplements
chicken-heart,organ_meats,chicken-liver,turkey-heart,beef-heart,chicken-breast,organ-based-nutrition-for-dogs,how-much-liver-to-feed-dog
chicken-liver,organ_meats,chicken-heart,turkey-liver,duck-liver,chicken-breast,organ-based-nutrition-for-dogs,how-much-liver-to-feed-dog
chicken-liver-flavor,flavors_palatable_digests,pork-liver-flavor,liver-digest,hydrolyzed-poultry-liver,chicken-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
chicken-meal,meat_meals_byproducts,chicken-by-products,turkey-meal,soybean-meal,chicken-breast,what-is-meat-meal-dog-food,chicken-by-products-dog-food
chickpea-flour,legumes,pea-flour,lentil-flour,coconut-flour,wheat-flour,fillers-in-dog-supplements,protein-for-dogs
chickpeas,legumes,yellow-peas,split-peas,pinto-beans,wheat-gluten,fillers-in-dog-supplements,protein-for-dogs
chlorella,vegetables,zucchini,tomatoes,sweet-potatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
choline-chloride,amino_acids,tryptophan,taurine,l-threonine,vitamin-k1-supplement,taurine-for-cats,protein-requirements-cats
chondroitin,joint_support,glucosamine,msm,green-lipped-mussel,collagen,joint-supplements-for-dogs,uc-ii-vs-glucosamine-for-dogs
chromium-picolinate,minerals,zinc-sulfate,zinc-proteinate,zinc-oxide,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
citric-acid,preservatives,sorbic-acid,sodium-propionate,sodium-benzoate,yellow-6,how-to-read-dog-supplement-labels,fillers-in-dog-supplements
coconut-flour,legumes,pea-flour,lentil-flour,chickpea-flour,wheat-flour,fillers-in-dog-supplements,protein-for-dogs
coconut-glycerin,other_functional_binders,coconut-sugar,yucca-schidigera-extract,whey-powder,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
coconut-oil,seeds_plant_oils,vegetable-oil,sunflower-oil,soybean-oil,sardine-oil,dog-skin-coat-supplements,all-natural-dog-supplements
coconut-sugar,other_functional_binders,coconut-glycerin,yucca-schidigera-extract,whey-powder,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
cod-liver-oil,omega3_marine_lipids,sardine-oil,salmon-oil,menhaden-oil,whole-antarctic-krill-meal,omega-3-fish-oil-for-dogs,omega-3-for-cats
coenzyme-q10,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
collagen,joint_support,turmeric,msm,hyaluronic-acid,turkey-liver,joint-supplements-for-dogs,uc-ii-vs-glucosamine-for-dogs
colostrum,yeast_fermentation_immune,yeast-fermentate,yeast-beta-glucans,selenium-yeast,yogurt,yeast-beta-glucan-for-dogs,yeast-fermentate-for-dogs
copper-amino-acid-chelate,minerals,copper-chelate,copper-sulfate,copper-proteinate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
copper-chelate,minerals,copper-amino-acid-chelate,copper-sulfate,copper-proteinate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
copper-proteinate,minerals,copper-sulfate,copper-chelate,copper-amino-acid-chelate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
copper-sulfate,minerals,copper-proteinate,copper-chelate,copper-amino-acid-chelate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
cordyceps,mushrooms_adaptogens,withania-somnifera,shiitake,reishi,zeaxanthin,immune-support-for-dogs,immune-support-for-cats
corn,grains_grain_products,corn-meal,corn-bran,ground-corn,corn-starch,fillers-in-dog-supplements,protein-for-dogs
corn-bran,grains_grain_products,corn-meal,corn,ground-corn,corn-starch,fillers-in-dog-supplements,protein-for-dogs
corn-gluten-feed,meat_meals_byproducts,corn-gluten-meal,turkey-meal,soybean-meal,turkey,what-is-meat-meal-dog-food,chicken-by-products-dog-food
corn-gluten-meal,meat_meals_byproducts,corn-gluten-feed,turkey-meal,soybean-meal,turkey,what-is-meat-meal-dog-food,chicken-by-products-dog-food
corn-meal,grains_grain_products,corn-bran,corn,ground-corn,corn-starch,fillers-in-dog-supplements,protein-for-dogs
corn-starch,starches,tapioca-starch,potato-starch,modified-food-starch,corn-meal,fillers-in-dog-supplements,dog-vs-human-nutrition
crab-meal,marine_proteins,whole-antarctic-krill-meal,whitefish-meal,shrimp-meal,sardine-oil,protein-for-dogs,dog-skin-coat-supplements
cracked-pearled-barley,grains_grain_products,barley,barley-malt-extract,wheat-gluten,tapioca-starch,fillers-in-dog-supplements,protein-for-dogs
cranberries,fruits,watermelon,pineapple,pear,zeaxanthin,antioxidants-for-dogs,what-extends-dog-lifespan
cucumber,vegetables,zucchini,tomatoes,sweet-potatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
cultured-dextrose,preservatives,sorbic-acid,sodium-propionate,sodium-benzoate,yellow-6,how-to-read-dog-supplement-labels,fillers-in-dog-supplements
dandelion-root,vegetables,zucchini,tomatoes,sweet-potatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
dicalcium-phosphate,minerals,tricalcium-phosphate,zinc-sulfate,zinc-proteinate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
digestive-enzymes,digestive_enzymes,protease,papain,lipase,yogurt,digestive-enzymes-for-dogs,gut-health-for-dogs
direct-dehydrated-alfalfa-pellets,vegetables,alfalfa-nutrient-concentrate,zucchini,tomatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
dl-methionine,amino_acids,tryptophan,taurine,l-threonine,vitamin-k1-supplement,taurine-for-cats,protein-requirements-cats
docosahexaenoic-acid,omega3_marine_lipids,eicosapentaenoic-acid,sardine-oil,salmon-oil,whole-antarctic-krill-meal,omega-3-fish-oil-for-dogs,omega-3-for-cats
dried-bacon-fat,animal_fats,poultry-fat,pork-fat,lamb-fat,vegetable-oil,dog-skin-coat-supplements,all-natural-dog-supplements
dried-chicory-root,prebiotics,resistant-starch,psyllium-husk,prebiotics,wheat-bran,best-prebiotic-foods-for-dogs,prebiotics-for-cats
dried-egg-product,other_functional_binders,egg-product,dried-whey,dried-plasma,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
dried-kelp,vegetables,dried-tomato-pomace,dried-sweet-potatoes,zucchini,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
dried-plasma,other_functional_binders,dried-whey,dried-egg-product,yucca-schidigera-extract,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
dried-sweet-potatoes,vegetables,sweet-potatoes,dried-tomato-pomace,dried-kelp,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
dried-tomato-pomace,vegetables,dried-sweet-potatoes,dried-kelp,zucchini,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
dried-whey,other_functional_binders,dried-plasma,dried-egg-product,whey-powder,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
dried-yeast,yeast_fermentation_immune,brewers-dried-yeast,selenium-yeast,nutritional-yeast,yogurt,yeast-beta-glucan-for-dogs,yeast-fermentate-for-dogs
duck,animal_muscle_meats,turkey,pork,lamb,duck-liver,protein-for-dogs,human-grade-dog-treats
duck-fat,animal_fats,poultry-fat,pork-fat,lamb-fat,vegetable-oil,dog-skin-coat-supplements,all-natural-dog-supplements
duck-liver,organ_meats,turkey-liver,chicken-liver,beef-liver,duck,organ-based-nutrition-for-dogs,how-much-liver-to-feed-dog
duck-meal,meat_meals_byproducts,turkey-meal,soybean-meal,poultry-by-product-meal,duck,what-is-meat-meal-dog-food,chicken-by-products-dog-food
egg,other_functional_binders,egg-product,dried-egg-product,yucca-schidigera-extract,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
egg-product,other_functional_binders,dried-egg-product,egg,yucca-schidigera-extract,wheat-bran,how-to-read-dog-supplement-labels,why-dogs-need-supplements
eggshell-membrane,joint_support,turmeric,msm,hyaluronic-acid,turkey-liver,joint-supplements-for-dogs,uc-ii-vs-glucosamine-for-dogs
eicosapentaenoic-acid,omega3_marine_lipids,docosahexaenoic-acid,sardine-oil,salmon-oil,whole-antarctic-krill-meal,omega-3-fish-oil-for-dogs,omega-3-for-cats
enterococcus-faecium,probiotics,yogurt,sauerkraut,probiotics,resistant-starch,probiotics-for-dogs,probiotics-for-cats
ethoxyquin,preservatives,sorbic-acid,sodium-propionate,sodium-benzoate,yellow-6,how-to-read-dog-supplement-labels,fillers-in-dog-supplements
euphausia-superba,marine_proteins,whole-antarctic-krill-meal,whitefish-meal,whitefish,sardine-oil,protein-for-dogs,dog-skin-coat-supplements
fermented-ingredients,yeast_fermentation_immune,yeast-fermentate,yeast-beta-glucans,selenium-yeast,yogurt,yeast-beta-glucan-for-dogs,yeast-fermentate-for-dogs
ferrous-sulfate,minerals,zinc-sulfate,manganese-sulfate,iron-sulfate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
fish-digest,flavors_palatable_digests,poultry-digest,liver-digest,animal-digest,turkey-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
fish-meal,marine_proteins,whole-antarctic-krill-meal,whitefish-meal,shrimp-meal,fish-oil,protein-for-dogs,dog-skin-coat-supplements
fish-oil,omega3_marine_lipids,salmon-oil,krill-oil,omega-3-fatty-acids,mixed-tocopherols,omega-3-fish-oil-for-dogs,omega-3-for-cats
flaxseed,seeds_plant_oils,vegetable-oil,sunflower-oil,sunflower-lecithin,sardine-oil,dog-skin-coat-supplements,all-natural-dog-supplements
folic-acid,vitamins,vitamin-k1-supplement,vitamin-k1,vitamin-d3-supplement,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
fructooligosaccharides,prebiotics,resistant-starch,psyllium-husk,prebiotics,wheat-bran,best-prebiotic-foods-for-dogs,prebiotics-for-cats
gelatin,joint_support,turmeric,msm,hyaluronic-acid,turkey-liver,joint-supplements-for-dogs,uc-ii-vs-glucosamine-for-dogs
ginger,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
ginkgo-biloba,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
glucosamine,joint_support,chondroitin,msm,green-lipped-mussel,collagen,joint-supplements-for-dogs,uc-ii-vs-glucosamine-for-dogs
glutamine,amino_acids,l-glutamine,tryptophan,taurine,vitamin-k1-supplement,taurine-for-cats,protein-requirements-cats
glutathione,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
glycerin,amino_acids,tryptophan,taurine,l-threonine,vitamin-k1-supplement,taurine-for-cats,protein-requirements-cats
gos,prebiotics,resistant-starch,psyllium-husk,prebiotics,wheat-bran,best-prebiotic-foods-for-dogs,prebiotics-for-cats
green-lipped-mussel,joint_support,glucosamine,chondroitin,msm,collagen,joint-supplements-for-dogs,uc-ii-vs-glucosamine-for-dogs
green-tea-extract,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
ground-corn,grains_grain_products,corn,corn-meal,corn-bran,corn-starch,fillers-in-dog-supplements,protein-for-dogs
guar-fiber,fibers_stool_support,sweet-potato-fiber,pea-hull-fiber,pea-fiber,resistant-starch,dog-anal-gland-diet,fillers-in-dog-supplements
guar-gum,gums_thickeners,xanthan-gum,locust-bean-gum,carrageenan,acacia-gum,food-thickeners-gums-in-dog-food,how-to-read-dog-supplement-labels
herring,marine_proteins,herring-meal,whole-antarctic-krill-meal,whitefish-meal,sardine-oil,protein-for-dogs,dog-skin-coat-supplements
herring-meal,marine_proteins,herring,whole-antarctic-krill-meal,whitefish-meal,sardine-oil,protein-for-dogs,dog-skin-coat-supplements
hickory-smoke-flavor,flavors_palatable_digests,smoke-flavor,pork-liver-flavor,natural-flavor,turkey-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
honey,flavors_palatable_digests,white-distilled-vinegar,smoke-flavor,propylene-glycol,turkey-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
hyaluronic-acid,joint_support,turmeric,msm,green-lipped-mussel,turkey-liver,joint-supplements-for-dogs,uc-ii-vs-glucosamine-for-dogs
hydrolyzed-poultry-liver,flavors_palatable_digests,poultry-digest,pork-liver-flavor,liver-digest,poultry-by-product-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
hydrolyzed-yeast,yeast_fermentation_immune,selenium-yeast,nutritional-yeast,dried-yeast,yogurt,yeast-beta-glucan-for-dogs,yeast-fermentate-for-dogs
inulin,prebiotics,resistant-starch,psyllium-husk,prebiotics,wheat-bran,best-prebiotic-foods-for-dogs,prebiotics-for-cats
iron-amino-acid-chelate,minerals,iron-sulfate,iron-proteinate,zinc-amino-acid-chelate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
iron-proteinate,minerals,iron-sulfate,iron-amino-acid-chelate,zinc-proteinate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
iron-sulfate,minerals,iron-proteinate,iron-amino-acid-chelate,zinc-sulfate,vitamin-k1-supplement,zinc-for-dogs,dog-vitamins-deficiency
kale,vegetables,zucchini,tomatoes,sweet-potatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
kefir,probiotics,yogurt,sauerkraut,probiotics,resistant-starch,probiotics-for-dogs,probiotics-for-cats
krill-oil,omega3_marine_lipids,fish-oil,salmon-oil,astaxanthin,omega-3-fatty-acids,omega-3-fish-oil-for-dogs,omega-3-for-cats
l-ascorbyl-2-polyphosphate,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
l-carnitine,amino_acids,l-threonine,l-theanine,l-lysine-monohydrochloride,vitamin-k1-supplement,taurine-for-cats,protein-requirements-cats
l-glutamine,amino_acids,l-threonine,l-theanine,l-lysine-monohydrochloride,vitamin-k1-supplement,taurine-for-cats,protein-requirements-cats
l-lysine,amino_acids,l-lysine-monohydrochloride,l-threonine,l-theanine,vitamin-k1-supplement,taurine-for-cats,protein-requirements-cats
l-lysine-monohydrochloride,amino_acids,l-lysine,l-threonine,l-theanine,vitamin-k1-supplement,taurine-for-cats,protein-requirements-cats
l-theanine,amino_acids,l-threonine,l-lysine-monohydrochloride,l-lysine,vitamin-k1-supplement,taurine-for-cats,protein-requirements-cats
l-threonine,amino_acids,l-theanine,l-lysine-monohydrochloride,l-lysine,vitamin-k1-supplement,taurine-for-cats,protein-requirements-cats
lactic-acid,flavors_palatable_digests,malic-acid,white-distilled-vinegar,smoke-flavor,turkey-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
lactobacillus-acidophilus,probiotics,yogurt,sauerkraut,probiotics,resistant-starch,probiotics-for-dogs,probiotics-for-cats
lamb,animal_muscle_meats,turkey,pork,duck,turkey-liver,protein-for-dogs,human-grade-dog-treats
lamb-fat,animal_fats,poultry-fat,pork-fat,duck-fat,vegetable-oil,dog-skin-coat-supplements,all-natural-dog-supplements
lamb-meal,meat_meals_byproducts,turkey-meal,soybean-meal,poultry-by-product-meal,lamb,what-is-meat-meal-dog-food,chicken-by-products-dog-food
lecithin,seeds_plant_oils,sunflower-lecithin,vegetable-oil,sunflower-oil,sardine-oil,dog-skin-coat-supplements,all-natural-dog-supplements
lentil-flour,legumes,pea-flour,coconut-flour,chickpea-flour,wheat-flour,fillers-in-dog-supplements,protein-for-dogs
lentils,legumes,yellow-peas,split-peas,pinto-beans,wheat-gluten,fillers-in-dog-supplements,protein-for-dogs
lignocellulose,fibers_stool_support,wheat-bran,sweet-potato-fiber,soy-hulls,resistant-starch,dog-anal-gland-diet,fillers-in-dog-supplements
lion-s-mane,mushrooms_adaptogens,lions-mane,withania-somnifera,shiitake,zeaxanthin,immune-support-for-dogs,immune-support-for-cats
lions-mane,mushrooms_adaptogens,lion-s-mane,withania-somnifera,shiitake,zeaxanthin,immune-support-for-dogs,immune-support-for-cats
lipase,digestive_enzymes,protease,papain,digestive-enzymes,yogurt,digestive-enzymes-for-dogs,gut-health-for-dogs
liver-digest,flavors_palatable_digests,pork-liver-flavor,hydrolyzed-poultry-liver,chicken-liver-flavor,turkey-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
locust-bean-gum,gums_thickeners,xanthan-gum,guar-gum,acacia-gum,wheat-bran,food-thickeners-gums-in-dog-food,how-to-read-dog-supplement-labels
